--------- beginning of /dev/log/main
01-10 14:17:00.721 D/KeyguardViewMediator(  171): wakeWhenReadyLocked(26)
01-10 14:17:00.731 I/power   (  171): *** set_screen_state 1
01-10 14:17:00.741 D/SurfaceFlinger(  171): Screen about to return, flinger = 0x94690
01-10 14:17:00.751 D/AK8973  (  121): Compass Start
01-10 14:17:00.861 D/dalvikvm(  171): GC_EXTERNAL_ALLOC freed 224K, 47% free 4740K/8903K, external 3638K/3857K, paused 86ms
--------- beginning of /dev/log/system
01-10 14:17:02.273 I/ActivityManager(  171): Start proc com.android.settings for broadcast com.android.settings/.widget.SettingsAppWidgetProvider: pid=606 uid=1000 gids={1015, 3002, 3001, 3003}
01-10 14:17:02.713 D/dalvikvm(  606): GC_CONCURRENT freed 402K, 54% free 2602K/5639K, external 0K/0K, paused 4ms+14ms
01-10 14:17:02.753 D/szipinf (  606): Initializing inflate state
01-10 14:17:02.903 D/SettingsAppWidgetProvider(  606): Widget is from a previous version... Let's update
01-10 14:17:02.903 D/SettingsAppWidgetProvider(  606): No instances yet... Wait for at least one instance to exist before adding global settings
01-10 14:17:03.114 I/ActivityManager(  171): No longer want com.android.providers.calendar (pid 420): hidden #16
01-10 14:17:37.347 D/AndroidRuntime(  618): 
01-10 14:17:37.347 D/AndroidRuntime(  618): >>>>>> AndroidRuntime START com.android.internal.os.RuntimeInit <<<<<<
01-10 14:17:37.347 I/AndroidRuntime(  618): Heap size: -Xmx32m
01-10 14:17:37.347 D/AndroidRuntime(  618): CheckJNI is OFF
01-10 14:17:37.347 D/dalvikvm(  618): creating instr width table
01-10 14:17:37.567 D/AndroidRuntime(  618): Calling main entry com.android.commands.pm.Pm
01-10 14:17:37.587 I/ActivityManager(  171): Start proc com.android.defcontainer for service com.android.defcontainer/.DefaultContainerService: pid=626 uid=10030 gids={1015, 2001}
01-10 14:17:37.627 D/dalvikvm(  626): Debugger has detached; object registry had 1 entries
