Time	Value
1390401281795	100.2160148411
1390401282001	100.4303009785
1390401282021	100.1514092102
1390401282041	100.0428310758
1390401282061	100.8727843459
1390401282081	99.6059227078
1390401282102	99.0307069919
1390401282122	101.1844890299
1390401282142	102.3472655131
1390401282162	100.9068568214
1390401282182	100.7686646129
1390401282202	99.8461415092
1390401282222	100.1330174147
1390401282243	100.0035197935
1390401282263	100.6534455861
1390401282283	98.873275097
1390401282312	101.0556862406
1390401282324	101.1401170618
1390401282344	100.8361177831
1390401282364	100.2907035607
1390401282384	100.0535540055
1390401282405	100.9167488585
1390401282425	101.1776665295
1390401282445	100.0798041928
1390401282466	101.1686863094
1390401282486	100.4234810933
1390401282506	100.0920726056
1390401282527	99.5295719127
1390401282546	101.3756545926
1390401282566	101.2635886422
1390401282586	99.6876373286
1390401282607	100.2475527967
1390401282627	99.2953560515
1390401282647	99.1888549305
1390401282667	100.9596887394
1390401282688	99.2516635149
1390401282720	100.9949418842
1390401282730	101.1958224527
1390401282747	99.8789436738
1390401282769	99.2077901694
1390401282791	100.0233266051
1390401282808	99.8085655994
1390401282830	101.4727633162
1390401282848	99.5407606303
1390401282868	99.2355197347
1390401282889	100.3921553283
1390401282908	99.906523231
1390401282929	101.4841117035
1390401282949	100.2461858704
1390401282969	99.1691901363
1390401282989	100.1421950064
1390401283009	101.1971456478
1390401283029	99.795726066
1390401283049	101.0349903493
1390401283069	99.9882594994
1390401283089	100.5137689146
1390401283109	101.143643524
1390401283129	100.1800018488
1390401283149	98.494811784
1390401283170	100.0745265945
1390401283190	100.7167341239
1390401283212	101.1854830789
1390401283231	101.0095963343
1390401283251	100.6189074679
1390401283272	99.1121789119
1390401283292	100.0924007348
1390401283312	100.2898038751
1390401283332	99.4403126459
1390401283352	98.9659039169
1390401283372	99.927727697
1390401283393	100.7757158666
1390401283412	100.3349416475
1390401283432	98.7506319392
1390401283452	101.0349638346
1390401283472	99.5530918795
1390401283493	98.5568373478
1390401283513	99.0910425126
1390401283533	99.7917360677
1390401283553	99.9629905033
1390401283573	99.61221208
1390401283594	100.1089282162
1390401283614	101.0814949754
1390401283633	100.164769595
1390401283654	99.5817366759
1390401283674	99.4792321636
1390401283695	100.1102438564
1390401283715	100.262044163
1390401283735	100.4655111185
1390401283755	99.6583314068
1390401283774	99.6817812729
1390401283795	99.8877730868
1390401283815	100.3997808988
1390401283836	100.0713712662
1390401283855	100.3756241421
1390401283876	100.4769054889
1390401283895	99.8326538536
1390401283916	99.096249429
1390401283936	100.016699878
1390401283956	100.1919459826
1390401283976	100.3119250252
1390401283996	100.3447688869
1390401284015	100.2978990111
1390401284037	100.3417016021
1390401284057	101.3555459487
1390401284077	100.369273677
1390401284097	101.066529322
1390401284117	98.9852833687
1390401284138	100.654989108
1390401284157	100.992752274
1390401284177	100.5359036489
1390401284198	101.07862913
1390401284225	100.6686914242
1390401284239	98.9052948947
1390401284260	100.8731351397
1390401284282	100.8850357602
1390401284297	101.5353457625
1390401284318	101.2236215374
1390401284337	99.716693358
1390401284358	100.6139321378
1390401284378	99.9905265472
1390401284398	100.128874212
1390401284418	99.0384103633
1390401284438	100.7046635184
1390401284458	100.8692902098
1390401284483	99.5037127635
1390401284500	100.8203247967
1390401284520	101.2837035335
1390401284540	100.0858642305
1390401284561	100.2418190721
1390401284581	100.7367420117
1390401284602	99.8930617268
1390401284621	100.1865751105
1390401284641	101.0231551076
1390401284661	99.7910749423
1390401284682	100.4895711145
1390401284702	100.5373902912
1390401284721	100.3990453142
1390401284742	100.5513539775
1390401284762	99.6451583686
1390401284782	100.1965006362
1390401284802	99.2813747856
1390401284823	100.4639040339
1390401284843	100.3245272334
1390401284863	101.6943366523
1390401284882	100.2090087715
1390401284902	99.5456028781
1390401284923	100.5905226613
1390401284944	99.9776286087
1390401284963	101.226138405
1390401284983	99.9452469028
1390401285004	100.7263172823
1390401285023	100.9613140575
1390401285044	100.3333545397
1390401285064	99.5028416268
1390401285084	99.5991178597
1390401285109	99.1550220321
1390401285125	99.9458243432
1390401285145	99.9449970829
1390401285166	100.3045580643
1390401285183	99.8631479996
1390401285204	99.9898731946
1390401285224	100.0399797591
1390401285244	100.3294179342
1390401285264	100.3965009875
1390401285284	100.2802077136
1390401285304	99.8470522366
1390401285324	100.8050547685
1390401285345	101.4947054009
1390401285365	100.3945675897
1390401285385	99.9487297065
1390401285405	100.7120888117
1390401285425	99.8800816289
1390401285445	100.5116130835
1390401285465	100.2699081483
1390401285485	100.77460508
1390401285506	99.6250062841
1390401285526	99.3054304956
1390401285546	100.0362275946
1390401285566	99.7370040226
1390401285586	100.4675357561
1390401285607	100.1978194001
1390401285626	101.7968681878
1390401285647	99.4631182398
1390401285667	100.2292488269
1390401285687	100.3258088767
1390401285707	99.9508855375
1390401285728	100.7460669237
1390401285749	100.1850647866
1390401285769	100.4553362816
1390401285789	100.3425903912
1390401285810	101.1183422017
1390401285829	99.582523474
1390401285849	100.0956661901
1390401285869	99.8969975333
1390401285889	100.9754929855
1390401285909	101.1296891361
1390401285929	100.9259730871
1390401285949	101.7032701629
1390401285969	99.7920851181
1390401285993	100.125007126
1390401286011	99.3328681807
1390401286030	101.1097767013
1390401286050	100.8288002922
1390401286070	99.5710941623
1390401286090	100.3752028118
1390401286110	100.1293954994
1390401286130	100.3335941168
1390401286151	102.2869058023
1390401286171	101.2257974907
1390401286192	101.5716411914
1390401286212	102.5432077996
1390401286232	98.7606248776
1390401286252	101.1169622722
1390401286272	101.096538357
1390401286292	101.8201958681
1390401286312	100.1386513277
1390401286332	99.6153312321
1390401286353	101.7312686532
1390401286373	100.2063819948
1390401286393	100.6697804178
1390401286413	100.005995763
1390401286433	101.2578344322
1390401286453	101.3840286057
1390401286473	100.0061803493
1390401286494	99.544277213
1390401286514	101.3022637884
1390401286534	99.4993701554
1390401286554	98.3524033665
1390401286574	98.6645104936
1390401286594	100.9548747498
1390401286614	101.8899622872
1390401286634	98.8015161487
1390401286655	99.4439254808
1390401286675	100.8261343609
1390401286695	99.7798970486
1390401286715	99.5679864152
1390401286736	100.345431102
1390401286756	100.155810514
1390401286776	101.6808628715
1390401286796	99.8282886534
1390401286816	101.0865967772
1390401286837	101.0388628109
1390401286857	100.9575900058
1390401286876	99.0514235138
1390401286896	99.4780385639
1390401286917	100.8666099678
1390401286937	101.45706048
1390401286957	99.8436444732
1390401286977	100.2418164569
1390401286997	100.6097860294
1390401287018	101.3414869546
1390401287038	101.6450281455
1390401287058	97.9872559081
1390401287080	100.0930084675
1390401287098	100.4043392572
1390401287118	101.2133405688
1390401287139	100.1106776814
1390401287158	100.6356059513
1390401287178	100.8260051287
1390401287199	101.6605069502
1390401287219	99.3280100967
1390401287239	98.8900118633
1390401287259	101.152859326
1390401287280	101.8275231658
1390401287299	101.2155957758
1390401287319	99.424687102
1390401287340	100.1036609332
1390401287360	100.5433677337
1390401287380	102.1947495989
1390401287400	99.8023295472
1390401287420	100.4274192969
1390401287440	100.8435139465
1390401287460	102.0392054091
1390401287481	100.8443503599
1390401287501	99.6468694783
1390401287521	99.2470917176
1390401287541	99.6972316015
1390401287561	100.7147669471
1390401287581	99.9096731837
1390401287603	102.2790195155
1390401287624	99.8823497663
1390401287643	100.2761694803
1390401287662	98.6116741444
1390401287682	100.1279978449
1390401287702	99.5536352503
1390401287722	100.2560001793
1390401287743	99.0956405341
1390401287762	99.7464152346
1390401287783	100.6417793124
1390401287803	100.9783535278
1390401287823	101.2643731884
1390401287843	101.3336785412
1390401287863	99.6009805757
1390401287883	100.5677464153
1390401287904	100.0135942376
1390401287924	100.5011264621
1390401287944	100.1978463507
1390401287964	99.7258235137
1390401287984	99.9176445357
1390401288004	99.9618357676
1390401288025	100.9444258302
1390401288044	100.6267375289
1390401288064	100.4092557463
1390401288084	98.9948562845
1390401288104	101.3157431628
1390401288124	100.1764260619
1390401288144	99.8967240318
1390401288165	100.7059705141
1390401288185	99.5930351573
1390401288205	100.7354489635
1390401288226	101.3079039487
1390401288246	101.0402070726
1390401288266	100.2664290494
1390401288286	101.1975610214
1390401288306	99.8448166433
1390401288327	100.0705306395
1390401288347	100.4527416858
1390401288367	99.9003896783
1390401288387	100.7726769852
1390401288408	100.0297261043
1390401288428	99.095582928
1390401288448	99.2833745792
1390401288468	100.0413696407
1390401288488	99.8891005679
1390401288509	99.9894969757
1390401288528	101.1068464941
1390401288548	101.3643367155
1390401288569	100.0763440537
1390401288588	99.9262091643
1390401288609	101.1291936371
1390401288629	100.5327153406
1390401288649	101.1028930354
1390401288669	101.7794154505
1390401288689	100.7475674408
1390401288709	99.7005470353
1390401288729	100.4515614524
1390401288750	100.2774915132
1390401288770	101.0796182393
1390401288790	101.2000774532
1390401288810	99.9526679101
1390401288830	99.6564410864
1390401288850	100.8760533608
1390401288870	100.2080000485
1390401288891	100.4387182142
1390401288911	98.5616017948
1390401288931	100.4252751614
1390401288951	100.5760814189
1390401288971	100.7545424192
1390401288991	99.664900891
1390401289011	100.4059995166
1390401289032	100.1261840905
1390401289052	99.6344611547
1390401289072	100.2275932166
1390401289092	100.0257122065
1390401289112	100.0284444611
1390401289132	99.9460698045
1390401289152	100.0335482969
1390401289173	99.9253041032
1390401289193	100.1261527813
1390401289213	100.6138947266
1390401289235	99.3402537382
1390401289254	99.4678863189
1390401289273	99.3327401835
1390401289294	99.429437892
1390401289314	100.8937384109
1390401289334	101.4660633649
1390401289354	99.6196957785
1390401289374	100.6637914977
1390401289394	101.2219941854
1390401289414	99.8027586504
1390401289434	101.2448530993
1390401289455	100.0966861001
1390401289475	99.9871116648
1390401289495	99.747902676
1390401289515	100.6277935426
1390401289535	100.8714558478
1390401289555	100.3095157421
1390401289575	99.1175789866
1390401289595	100.3140000044
1390401289616	100.4460325087
1390401289636	101.2858037199
1390401289656	100.942056065
1390401289676	99.1191196027
1390401289696	99.9286060981
1390401289716	100.2544217887
1390401289736	99.9675171166
1390401289757	100.035501163
1390401289777	100.5040977127
1390401289797	99.6791273276
1390401289817	100.8838365669
1390401289837	100.3388859532
1390401289858	100.5702329907
1390401289878	100.4199879016
1390401289898	99.499270271
1390401289918	100.3924325346
1390401289938	100.1538014947
1390401289959	98.0190912648
1390401289978	100.5831956542
1390401289998	99.9078183859
1390401290020	99.9844232867
1390401290041	100.0711381543
1390401290060	98.6586084547
1390401290079	100.1257431465
1390401290099	99.2827702607
1390401290119	100.9155692062
1390401290139	100.7595065623
1390401290159	99.9894563681
1390401290180	99.6255306951
1390401290200	99.4205853059
1390401290220	99.9978274028
1390401290240	100.4443309153
1390401290260	99.7406778778
1390401290280	99.716377215
1390401290300	99.9262539125
1390401290321	101.6445672247
1390401290341	99.8586834962
1390401290361	100.3632939826
1390401290381	99.777641769
1390401290401	100.0790006141
1390401290421	101.0041977852
1390401290441	99.3783794115
1390401290462	100.1015525381
1390401290482	101.7730395603
1390401290502	100.9553884096
1390401290522	101.3494251086
1390401290542	99.0810663546
1390401290562	100.1636394854
1390401290582	100.1797615453
1390401290603	100.0135617661
1390401290624	100.6252266238
1390401290643	100.3593023135
1390401290663	100.8901082142
1390401290683	100.7604135848
1390401290703	100.1616293765
1390401290723	100.6605975959
1390401290744	100.2144552651
1390401290764	100.0112678404
1390401290784	101.6283731754
1390401290804	100.126244457
1390401290825	99.8728975835
1390401290845	98.4790096446
1390401290865	100.9690188817
1390401290885	101.1741965837
1390401290905	100.8159646089
1390401290925	99.3077057521
1390401290945	100.7014796413
1390401290965	100.1524172793
1390401290985	99.6671133838
1390401291005	100.0139659527
1390401291026	100.6078567724
1390401291046	101.0226476952
1390401291066	99.3478722624
1390401291086	98.5230163629
1390401291106	100.8901082142
1390401291126	101.688099002
1390401291146	100.6303444798
1390401291167	98.6688876073
1390401291187	101.9170226636
1390401291207	99.8678275994
1390401291227	100.3282269496
1390401291247	100.138947058
1390401291267	101.300370635
1390401291287	100.2157024029
1390401291308	101.6218189462
1390401291328	100.8241811316
1390401291348	100.8387165922
1390401291369	99.8611572138
1390401291388	99.314428804
1390401291408	100.0667680143
1390401291429	100.6982434611
1390401291449	101.63288141
1390401291469	100.3519153032
1390401291489	100.0530889439
1390401291509	100.3050221815
1390401291529	101.3206636473
1390401291549	99.3167319554
1390401291569	99.395637901
1390401291589	100.36935511
1390401291610	99.2192605245
1390401291630	100.0054710615
1390401291650	99.4383284706
1390401291670	100.7671131729
1390401291690	99.7547022211
1390401291710	100.2748199156
1390401291731	99.4552929006
1390401291751	99.714021252
1390401291771	101.6124120927
1390401291791	100.7420185204
1390401291811	99.0777899302
1390401291831	99.6379030603
1390401291851	99.6561642434
1390401291872	100.119923267
1390401291892	100.0678140032
1390401291912	100.6634375802
1390401291932	100.9726144276
1390401291952	100.7865346852
1390401291972	101.8820252228
1390401291992	100.3325499441
1390401292012	99.9996479857
1390401292033	99.552455816
1390401292053	100.4264997798
1390401292074	99.5567668243
1390401292093	101.4960097088
1390401292113	99.9196844283
1390401292133	101.1234251163
1390401292153	100.6278579044
1390401292174	99.8617325476
1390401292194	100.1930349763
1390401292214	100.4034363027
1390401292234	100.7586371689
1390401292254	100.8435242618
1390401292275	100.586153829
1390401292295	100.7720239232
1390401292315	99.8797385353
1390401292335	100.5674771271
1390401292355	99.821828715
1390401292375	101.2801597822
1390401292395	100.2076338544
1390401292415	99.602026274
1390401292435	101.3313213433
1390401292456	100.4297018177
1390401292476	102.1885040305
1390401292496	101.6625198922
1390401292516	99.6334751691
1390401292536	100.317208217
1390401292556	100.334331227
1390401292576	101.3040022845
1390401292597	100.1919109686
1390401292617	100.3167327675
1390401292637	100.6364348098
1390401292657	100.5472888662
1390401292677	98.2293255846
1390401292697	99.5420412566
1390401292718	102.0702951564
1390401292738	101.1952073104
1390401292758	101.5670011095
1390401292779	98.8290639608
1390401292798	99.3748966078
1390401292818	101.1279887776
1390401292839	100.7327811434
1390401292870	99.170124182
1390401292880	100.2548534344
1390401292898	102.1499449681
1390401292918	101.6774470448
1390401292938	99.8478239975
1390401292958	99.5832639984
1390401292979	101.1528469766
1390401293000	100.5835348978
1390401293020	99.9197334624
1390401293040	99.6753163948
1390401293060	101.361224174
1390401293080	100.3620246886
1390401293100	99.9956567525
