Time	Value
1390401717158	100.5739608197
1390401717382	101.4250946562
1390401717402	100.8691335912
1390401717422	95.2178100063
1390401717442	96.6373169362
1390401717462	112.5006988957
1390401717482	98.9181590541
1390401717503	102.4014246217
1390401717523	93.7371394238
1390401717543	90.8423569738
1390401717563	89.9132571216
1390401717584	95.9793518703
1390401717604	101.7585797212
1390401717624	107.1459418139
1390401717644	101.9003736502
1390401717664	103.8636660702
1390401717685	101.5004782076
1390401717705	93.2751077092
1390401717725	99.823570916
1390401717745	114.3153120498
1390401717772	103.8914634115
1390401717785	95.447153836
1390401717805	96.1710128593
1390401717826	98.5814484875
1390401717846	96.7231608848
1390401717866	98.2971574436
1390401717887	99.4366961061
1390401717907	97.911056356
1390401717927	99.1090781386
1390401717947	103.5250922791
1390401717967	100.8544261842
1390401717987	96.0928119156
1390401718008	94.7108005523
1390401718028	103.748306043
1390401718048	104.3183500017
1390401718068	100.7999937921
1390401718089	97.1583006824
1390401718108	92.8081544931
1390401718128	95.3213211349
1390401718149	106.6943231332
1390401718170	105.0223862319
1390401718189	104.9679632834
1390401718209	105.0531341932
1390401718229	101.3052651132
1390401718249	99.3438606891
1390401718269	94.7358259032
1390401718289	90.5037225983
1390401718309	96.1490052505
1390401718329	105.6371905091
1390401718349	113.9242710094
1390401718369	104.8847626015
1390401718389	86.7559469375
1390401718409	117.9019067022
1390401718429	116.6994964737
1390401718450	110.7586340304
1390401718471	189.7810860104
1390401718491	275.4160977448
1390401718511	295.5725306212
1390401718531	181.6364297639
1390401718551	155.4607572681
1390401718573	156.888550458
1390401718592	140.1301130815
1390401718612	122.5168483998
1390401718639	121.6997515163
1390401718651	111.5406751405
1390401718671	102.0074394266
1390401718692	96.273787023
1390401718712	82.3692655242
1390401718732	79.1424861769
1390401718753	96.157690031
1390401718773	113.1255782708
1390401718793	121.6242206446
1390401718813	136.1100395448
1390401718841	118.5421544644
1390401718853	105.730704268
1390401718873	93.2852745554
1390401718893	91.2737001493
1390401718914	80.9944909452
1390401718934	70.9415189861
1390401718954	79.8223261326
1390401718975	85.5387208457
1390401718994	96.2727208394
1390401719014	84.8495762455
1390401719034	83.1821597829
1390401719055	85.1142883594
1390401719075	90.4172612554
1390401719095	86.8861298743
1390401719115	86.7218942209
1390401719135	87.1561691291
1390401719155	86.2502022735
1390401719175	78.0023168265
1390401719195	76.3180637858
1390401719215	77.9287857483
1390401719235	80.3263625926
1390401719255	81.3529727398
1390401719285	83.2167619723
1390401719297	84.6578279394
1390401719318	87.3673008098
1390401719336	89.9116501822
1390401719356	90.1285784966
1390401719376	94.4943981743
1390401719396	101.4352984051
1390401719417	106.6228426262
1390401719437	115.1547344285
1390401719456	114.8725495278
1390401719477	105.0266168243
1390401719497	109.8602610729
1390401719517	112.2659894242
1390401719537	111.7123083374
1390401719557	114.3743763152
1390401719578	124.2943633455
1390401719598	122.6212690207
1390401719618	116.9938735119
1390401719639	107.2380550127
1390401719659	98.0190832014
1390401719679	95.5927371955
1390401719700	92.6100201993
1390401719719	85.7835511803
1390401719739	80.5900481134
1390401719759	76.8520564693
1390401719779	77.4060407686
1390401719799	75.0880673169
1390401719832	77.7720465786
1390401719842	80.822579307
1390401719860	82.0634054183
1390401719883	82.8866905547
1390401719902	84.0595288421
1390401719921	81.4229527297
1390401719942	78.5764081716
1390401719961	72.3232654925
1390401719981	66.7310761283
1390401720027	61.5011532675
1390401720028	63.1771631255
1390401720041	65.6347480151
1390401720062	68.7438756614
1390401720081	70.5906102411
1390401720101	77.7562382645
1390401720122	89.2666639066
1390401720142	102.3367788191
1390401720166	111.9530370212
1390401720189	112.603189751
1390401720204	124.2470985088
1390401720229	129.5880654487
1390401720245	126.5671337913
1390401720269	116.6427243906
1390401720283	109.0896430272
1390401720303	96.3394442364
1390401720323	93.2307066838
1390401720343	95.1439983076
1390401720363	103.8370902962
1390401720383	109.1732322047
1390401720403	108.1200396004
1390401720424	107.1828512228
1390401720447	106.8562630448
1390401720470	103.3080292116
1390401720490	101.448707025
1390401720508	98.2302454649
1390401720527	98.9755554325
1390401720551	100.8660772028
1390401720571	103.5281660291
1390401720592	104.5640133354
1390401720611	109.3902671593
1390401720628	112.5569791845
1390401720652	117.2550204447
1390401720672	118.8384174644
1390401720692	109.587022468
1390401720713	105.5027912906
1390401720733	102.0972334924
1390401720750	97.7616729601
1390401720773	97.8769219159
1390401720791	99.3736410434
1390401720809	98.2267817664
1390401720833	95.6493188082
1390401720852	94.7407747186
1390401720873	91.82777271
1390401720908	94.607079267
1390401720909	99.7960132244
1390401720928	95.4961827393
1390401720954	85.7225574399
1390401720974	79.8410780202
1390401720994	82.1077765147
1390401721014	87.0278610396
1390401721030	89.4731952413
1390401721050	88.1492147944
1390401721076	95.1340446691
1390401721093	101.5836695186
1390401721113	103.4033924653
1390401721130	97.8699668418
1390401721150	95.3605716876
1390401721176	98.1228476367
1390401721194	101.4569126512
1390401721211	102.5570528596
1390401721234	96.5881702784
1390401721251	99.3626905954
1390401721274	102.8928595274
1390401721295	99.964511869
1390401721310	92.208530094
1390401721330	90.4222125406
1390401721353	99.8080883338
1390401721373	108.9705213918
1390401721395	117.0692597511
1390401721414	127.1369515392
1390401721433	143.3327563754
1390401721453	152.6512164823
1390401721472	139.2524996507
1390401721492	131.5893301195
1390401721512	121.3632057044
1390401721532	110.3463548175
1390401721552	91.8281357079
1390401721576	77.5081094946
1390401721599	69.2851196579
1390401721615	67.9657587348
1390401721637	66.6885563429
1390401721659	71.7124395906
1390401721677	73.3872283897
1390401721699	69.6518386058
1390401721716	64.6927372939
1390401721736	68.8244250859
1390401721760	79.8053510967
1390401721778	90.1649851422
1390401721800	86.4520956329
1390401721821	83.3360495972
1390401721837	91.593590192
1390401721861	98.3217810779
1390401721880	96.8657118282
1390401721901	96.5290310453
1390401721921	108.6113494146
1390401721941	109.7383673019
1390401721961	100.8326620027
1390401721979	95.3030680153
1390401721997	92.2354608024
1390401722022	95.5011136117
1390401722041	96.3246803856
1390401722061	87.7425018637
1390401722083	78.3274283144
1390401722101	78.768711762
1390401722118	102.8534251875
1390401722149	165.18022019
1390401722157	122.6383782285
1390401722180	129.7351127858
1390401722203	108.0858473363
1390401722223	85.7609714339
1390401722243	72.0881523429
1390401722263	57.9069867278
1390401722279	59.4855861026
1390401722298	69.5037274822
1390401722323	328.4204480178
1390401722342	131.3634834043
1390401722360	122.4103641319
1390401722383	82.0315293814
1390401722405	94.6794420979
1390401722422	154.2262811135
1390401722445	111.9705411899
1390401722464	112.5338349282
1390401722486	118.2240887093
1390401722503	97.6265983782
1390401722521	70.7456360492
1390401722545	76.9871675908
1390401722565	72.2316311575
1390401722586	104.0288723088
1390401722605	82.0055934484
1390401722625	70.4677398554
1390401722646	70.3307121168
1390401722664	95.4221461373
1390401722680	104.3597154147
1390401722709	166.0093448195
1390401722723	184.89839201
1390401722745	184.7360597528
1390401722767	134.3360413271
1390401722790	123.9869425013
1390401722801	166.3877390488
1390401722826	213.1127521
1390401722846	202.0148253436
1390401722862	116.1676778547
1390401722885	73.6777011487
1390401722906	36.3476805347
1390401722927	36.1980059124
1390401722948	60.9010795704
1390401722964	72.5371484603
1390401722987	78.6574554197
1390401723011	113.0839122604
1390401723025	87.4028151794
1390401723046	71.7165714609
1390401723070	65.5337734404
1390401723087	61.0828562225
1390401723109	68.0643829401
1390401723125	97.4196772403
1390401723146	133.237404251
1390401723170	173.718575926
1390401723190	182.696024192
1390401723208	153.5056916862
1390401723230	100.7740134015
1390401723248	82.2881992436
1390401723266	112.6346505596
1390401723290	134.0066892947
1390401723309	148.6815947103
