--------- beginning of /dev/log/main
01-18 13:23:28.714 D/KeyguardViewMediator(  164): wakeWhenReadyLocked(26)
01-18 13:23:28.714 I/power   (  164): *** set_screen_state 1
01-18 13:23:28.724 D/SurfaceFlinger(  164): Screen about to return, flinger = 0x94690
01-18 13:23:28.754 D/AK8973  (  120): Compass Start
01-18 13:23:28.854 D/dalvikvm(  164): GC_EXTERNAL_ALLOC freed 100K, 48% free 4800K/9223K, external 3503K/3689K, paused 91ms
01-18 13:23:30.345 D/SettingsAppWidgetProvider(  608): Widget is from a previous version... Let's update
01-18 13:23:30.345 D/SettingsAppWidgetProvider(  608): No instances yet... Wait for at least one instance to exist before adding global settings
--------- beginning of /dev/log/system
01-18 13:23:30.375 W/InputManagerService(  164): Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@406c6360
01-18 13:23:33.709 D/AndroidRuntime(  647): 
01-18 13:23:33.709 D/AndroidRuntime(  647): >>>>>> AndroidRuntime START com.android.internal.os.RuntimeInit <<<<<<
01-18 13:23:33.709 I/AndroidRuntime(  647): Heap size: -Xmx32m
01-18 13:23:33.709 D/AndroidRuntime(  647): CheckJNI is OFF
01-18 13:23:33.709 D/dalvikvm(  647): creating instr width table
01-18 13:23:33.969 D/AndroidRuntime(  647): Calling main entry com.android.commands.pm.Pm
01-18 13:23:33.979 I/ActivityManager(  164): Start proc com.android.defcontainer for service com.android.defcontainer/.DefaultContainerService: pid=655 uid=10030 gids={1015, 2001}
01-18 13:23:34.019 D/dalvikvm(  655): Debugger has detached; object registry had 1 entries
01-18 13:23:34.129 D/dalvikvm(  655): GC_EXPLICIT freed 324K, 55% free 2508K/5511K, external 0K/0K, paused 39ms
01-18 13:23:34.850 W/ActivityManager(  164): No content provider found for: 
01-18 13:23:34.990 W/ActivityManager(  164): No content provider found for: 
01-18 13:23:35.010 I/ActivityManager(  164): No longer want com.android.mms (pid 461): hidden #16
01-18 13:23:35.020 D/PackageParser(  164): Scanning package: /data/app/vmdl-1770436674.tmp
01-18 13:23:35.090 I/dalvikvm(  164): Jit: resizing JitTable from 4096 to 8192
01-18 13:23:35.170 I/PackageManager(  164): Removing non-system package:uk.ac.st_andrews.cs.host.mk74.energymeasurement.light
01-18 13:23:35.170 I/ActivityManager(  164): Force stopping package uk.ac.st_andrews.cs.host.mk74.energymeasurement.light uid=10064
01-18 13:23:35.270 D/PackageManager(  164): Scanning package uk.ac.st_andrews.cs.host.mk74.energymeasurement.light
01-18 13:23:35.270 I/PackageManager(  164): Package uk.ac.st_andrews.cs.host.mk74.energymeasurement.light codePath changed from /data/app/uk.ac.st_andrews.cs.host.mk74.energymeasurement.light-1.apk to /data/app/uk.ac.st_andrews.cs.host.mk74.energymeasurement.light-2.apk; Retaining data and using new
01-18 13:23:35.270 I/PackageManager(  164): Unpacking native libraries for /data/app/uk.ac.st_andrews.cs.host.mk74.energymeasurement.light-2.apk
01-18 13:23:35.290 D/installd(  118): DexInv: --- BEGIN '/data/app/uk.ac.st_andrews.cs.host.mk74.energymeasurement.light-2.apk' ---
01-18 13:23:35.540 D/dalvikvm(  664): creating instr width table
01-18 13:23:35.620 D/dalvikvm(  608): GC_EXPLICIT freed 119K, 54% free 2637K/5639K, external 0K/0K, paused 160ms
01-18 13:23:35.911 D/dalvikvm(  664): DexOpt: load 56ms, verify+opt 261ms
01-18 13:23:36.021 D/installd(  118): DexInv: --- END '/data/app/uk.ac.st_andrews.cs.host.mk74.energymeasurement.light-2.apk' (success) ---
01-18 13:23:36.021 I/ActivityManager(  164): Force stopping package uk.ac.st_andrews.cs.host.mk74.energymeasurement.light uid=10064
