--------- beginning of /dev/log/main
01-28 17:48:44.720 I/System.out( 9624): Location: unknown | WiFiNavigator running:true
01-28 17:48:44.720 I/System.out( 9624): Battery level: 100 | Time difference: -1
01-28 17:48:47.723 I/System.out( 9624): Location: unknown | WiFiNavigator running:true
01-28 17:48:47.733 I/System.out( 9624): Battery level: 100 | Time difference: -1
01-28 17:48:50.726 D/dalvikvm( 9624): GC_FOR_ALLOC freed 313K, 4% free 9060K/9412K, paused 18ms, total 18ms
01-28 17:48:50.726 I/System.out( 9624): Location: unknown | WiFiNavigator running:false
01-28 17:48:50.726 I/System.out( 9624): Battery level: 100 | Time difference: -1
01-28 17:48:53.729 I/System.out( 9624): Location: unknown | WiFiNavigator running:false
01-28 17:48:53.729 I/System.out( 9624): Battery level: 100 | Time difference: -1
01-28 17:48:56.722 I/System.out( 9624): Location: unknown | WiFiNavigator running:false
01-28 17:48:56.732 I/System.out( 9624): Battery level: 100 | Time difference: -1
01-28 17:48:59.735 I/System.out( 9624): Location: no CS school | WiFiNavigator running:true
01-28 17:48:59.735 I/System.out( 9624): Battery level: 100 | Time difference: -1
01-28 17:49:00.316 D/dalvikvm(  717): GC_CONCURRENT freed 354K, 13% free 10120K/11504K, paused 8ms+3ms, total 78ms
01-28 17:49:02.718 I/System.out( 9624): Location: no CS school | WiFiNavigator running:true
01-28 17:49:02.718 I/System.out( 9624): Battery level: 100 | Time difference: -1
01-28 17:49:04.810 D/dalvikvm( 9624): GC_FOR_ALLOC freed 464K, 6% free 9091K/9600K, paused 15ms, total 15ms
01-28 17:49:05.731 I/System.out( 9624): Location: no CS school | WiFiNavigator running:true
01-28 17:49:05.731 I/System.out( 9624): Battery level: 100 | Time difference: -1
01-28 17:49:08.734 I/System.out( 9624): Location: no CS school | WiFiNavigator running:true
01-28 17:49:08.734 I/System.out( 9624): Battery level: 100 | Time difference: -1
01-28 17:49:10.165 D/dalvikvm( 9624): Debugger has detached; object registry had 1 entries
01-28 17:49:10.275 D/dalvikvm( 9624): GC_CONCURRENT freed 416K, 6% free 9077K/9600K, paused 16ms+7ms, total 105ms
01-28 17:49:10.335 D/PicasaSyncManager( 1503): battery info: false
01-28 17:49:10.335 D/PicasaUploaderSyncManager( 2157): battery info: false
